,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
义父母-义子女,"[53, 89, 72, 53, 94, 93, 88, 64, 99]","[6, 11, 4, 26, 25, 2, 71, 44, 1]","[3, 76, 41, 12, 42, 76, 40, 21, 1]","[23, 0, 37, 44, 94, 65, 86, 9, 1]","[52, 0, 44, 27, 16, 0, 2, 53, 1]","[32, 51, 4, 62, 14, 3, 9, 51, 1]","[50, 78, 16, 74, 90, 2, 12, 95, 100]","[69, 92, 53, 63, 88, 56, 38, 94, 88]","[51, 75, 66, 48, 88, 86, 1, 45, 99]","[100, 100, 80, 62, 75, 43, 94, 61, 60]","[0, 98, 22, 52, 82, 33, 29, 21, 22]","[4, 4, 27, 61, 57, 68, 32, 8, 65]","[93, 97, 82, 70, 92, 23, 97, 62, 67]","[93, 97, 78, 50, 81, 73, 81, 88, 78]","[90, 90, 76, 43, 90, 56, 96, 77, 66]","[8, 97, 51, 41, 59, 58, 7, 37, 76]","[100, 97, 56, 59, 68, 50, 58, 70, 80]","[84, 80, 66, 96, 91, 73, 95, 78, 76]","[76, 76, 82, 85, 54, 68, 90, 39, 62]","[9, 67, 44, 67, 27, 51, 6, 90, 34]","[91, 79, 56, 82, 66, 18, 82, 66, 64]","[80, 50, 71, 80, 66, 66, 72, 55, 78]","[25, 43, 32, 11, 25, 49, 8, 8, 63]","[89, 65, 55, 61, 94, 82, 10, 84, 69]","[100, 2, 4, 85, 0, 9, 1, 96, 23]","[88, 77, 48, 66, 74, 73, 98, 94, 60]","[0, 15, 4, 22, 0, 18, 2, 3, 24]","[100, 68, 76, 59, 74, 83, 88, 19, 64]","[100, 84, 69, 63, 96, 18, 18, 73, 55]","[0, 2, 32, 16, 34, 1, 5, 19, 14]","[0, 16, 27, 6, 2, 2, 29, 8, 21]","[19, 26, 34, 0, 41, 63, 67, 65, 53]","[0, 9, 17, 17, 4, 3, 0, 10, 28]","[87, 75, 94, 75, 64, 98, 99, 72, 46]","[0, 16, 1, 1, 4, 2, 0, 12, 46]"
土籍人士-客籍人士,"[68, 52, 51, 9, 56, 55, 92, 58, 36]","[7, 32, 3, 84, 34, 52, 66, 58, 34]","[68, 47, 45, 7, 5, 47, 46, 17, 2]","[10, 86, 50, 78, 72, 42, 87, 82, 91]","[52, 21, 82, 16, 76, 36, 1, 68, 2]","[48, 22, 7, 86, 52, 19, 6, 24, 59]","[49, 100, 69, 7, 15, 32, 16, 60, 76]","[47, 72, 38, 47, 24, 30, 36, 36, 1]","[21, 91, 24, 9, 49, 25, 1, 41, 1]","[38, 2, 84, 15, 0, 44, 2, 4, 11]","[69, 5, 40, 33, 93, 53, 8, 3, 28]","[83, 96, 29, 59, 94, 73, 57, 43, 71]","[74, 95, 35, 69, 26, 73, 55, 60, 44]","[63, 1, 39, 31, 57, 19, 35, 4, 43]","[60, 94, 29, 30, 0, 51, 42, 14, 61]","[20, 91, 79, 50, 72, 57, 93, 95, 66]","[2, 2, 5, 21, 24, 50, 28, 3, 41]","[15, 0, 51, 53, 16, 38, 52, 0, 35]","[21, 3, 23, 42, 21, 15, 1, 16, 15]","[30, 7, 16, 35, 69, 57, 71, 6, 61]","[0, 4, 18, 42, 12, 13, 2, 12, 42]","[8, 4, 19, 29, 17, 75, 1, 6, 11]","[83, 82, 62, 69, 100, 48, 89, 8, 69]","[70, 3, 10, 19, 48, 76, 23, 52, 63]","[0, 31, 3, 16, 0, 8, 3, 2, 19]","[23, 8, 6, 20, 31, 76, 61, 30, 19]","[0, 0, 2, 35, 91, 11, 2, 51, 21]","[100, 78, 21, 66, 97, 9, 29, 71, 67]","[100, 94, 77, 95, 94, 98, 70, 65, 47]","[9, 31, 49, 39, 61, 5, 87, 15, 13]","[81, 74, 66, 66, 60, 68, 57, 11, 26]","[79, 91, 35, 30, 46, 85, 44, 10, 61]","[10, 14, 73, 0, 6, 2, 58, 9, 27]","[52, 63, 62, 69, 53, 69, 57, 47, 45]","[0, 12, 3, 33, 5, 2, 5, 14, 46]"
暧昧对象之间,"[77, 50, 72, 92, 57, 94, 82, 54, 100]","[92, 33, 82, 34, 84, 44, 74, 79, 99]","[5, 4, 14, 11, 19, 2, 36, 7, 1]","[38, 0, 8, 81, 16, 26, 86, 0, 3]","[31, 0, 66, 87, 9, 6, 1, 30, 2]","[51, 0, 2, 51, 15, 2, 9, 11, 1]","[66, 100, 2, 76, 91, 84, 13, 100, 98]","[71, 94, 78, 20, 48, 4, 41, 57, 98]","[44, 92, 85, 29, 54, 81, 1, 50, 97]","[88, 100, 19, 38, 92, 54, 81, 70, 20]","[10, 74, 28, 68, 81, 32, 80, 52, 23]","[0, 4, 32, 4, 34, 35, 9, 13, 14]","[7, 51, 76, 33, 36, 26, 11, 34, 11]","[97, 51, 70, 54, 59, 70, 50, 55, 44]","[100, 90, 86, 44, 96, 57, 95, 84, 80]","[5, 94, 30, 58, 50, 59, 91, 66, 38]","[100, 95, 84, 56, 73, 51, 70, 82, 85]","[0, 1, 10, 23, 0, 34, 13, 2, 38]","[88, 65, 35, 90, 33, 70, 100, 23, 8]","[100, 92, 80, 71, 71, 53, 22, 92, 70]","[100, 71, 70, 77, 63, 10, 99, 57, 88]","[100, 80, 72, 84, 78, 57, 100, 53, 78]","[10, 4, 63, 19, 21, 52, 1, 68, 21]","[100, 72, 10, 83, 71, 59, 66, 81, 41]","[100, 61, 43, 12, 38, 6, 97, 99, 75]","[100, 52, 24, 84, 86, 71, 100, 44, 15]","[0, 4, 2, 10, 4, 12, 1, 3, 24]","[92, 47, 69, 74, 94, 83, 43, 15, 60]","[9, 7, 36, 14, 7, 3, 1, 17, 47]","[0, 25, 49, 4, 65, 1, 6, 12, 63]","[0, 18, 16, 35, 19, 15, 16, 15, 2]","[16, 41, 63, 10, 41, 91, 91, 72, 53]","[0, 2, 26, 0, 4, 3, 0, 4, 25]","[51, 10, 53, 50, 48, 2, 33, 9, 52]","[0, 16, 20, 4, 4, 2, 0, 15, 46]"
报案人-罪犯,"[15, 0, 16, 2, 11, 2, 1, 37, 1]","[52, 69, 1, 93, 41, 37, 77, 64, 99]","[82, 100, 99, 4, 44, 0, 34, 30, 98]","[49, 100, 90, 92, 89, 2, 88, 39, 99]","[58, 0, 2, 40, 57, 2, 1, 18, 1]","[68, 0, 91, 97, 51, 89, 17, 77, 98]","[8, 0, 1, 13, 90, 2, 12, 1, 1]","[39, 23, 7, 9, 23, 2, 48, 8, 1]","[5, 0, 9, 11, 24, 20, 1, 6, 1]","[100, 100, 80, 36, 60, 41, 85, 37, 10]","[0, 1, 27, 31, 100, 65, 1, 0, 14]","[82, 100, 26, 88, 75, 78, 88, 64, 79]","[0, 2, 25, 30, 0, 23, 2, 1, 10]","[0, 0, 18, 5, 0, 21, 1, 0, 19]","[0, 6, 28, 29, 0, 53, 3, 0, 15]","[0, 4, 20, 42, 0, 59, 5, 0, 11]","[0, 1, 1, 7, 0, 59, 97, 0, 15]","[0, 1, 25, 47, 0, 29, 52, 0, 15]","[0, 0, 21, 31, 8, 77, 1, 38, 13]","[100, 95, 78, 32, 97, 51, 97, 91, 94]","[0, 0, 4, 35, 0, 12, 1, 1, 12]","[0, 0, 27, 28, 0, 18, 1, 2, 2]","[0, 100, 66, 18, 100, 51, 88, 13, 87]","[0, 0, 14, 30, 0, 85, 1, 41, 12]","[0, 2, 2, 18, 0, 13, 1, 2, 15]","[0, 0, 7, 20, 0, 72, 1, 4, 9]","[0, 57, 3, 77, 49, 9, 2, 52, 39]","[0, 89, 3, 45, 96, 69, 31, 22, 57]","[100, 11, 45, 71, 3, 100, 97, 51, 54]","[0, 11, 48, 70, 4, 21, 14, 35, 34]","[100, 92, 95, 88, 97, 100, 100, 73, 22]","[0, 10, 38, 100, 3, 100, 0, 16, 51]","[0, 14, 31, 2, 5, 2, 0, 83, 24]","[0, 96, 47, 3, 44, 1, 52, 13, 44]","[0, 18, 2, 41, 4, 2, 10, 12, 45]"
状元-榜眼-探花,"[5, 25, 37, 12, 49, 46, 88, 25, 99]","[3, 9, 1, 65, 9, 45, 77, 60, 7]","[68, 93, 100, 95, 100, 50, 39, 54, 66]","[94, 10, 33, 98, 94, 41, 94, 41, 2]","[44, 0, 54, 8, 51, 2, 1, 58, 1]","[71, 0, 8, 2, 51, 2, 9, 9, 1]","[21, 72, 68, 2, 18, 48, 13, 55, 94]","[37, 5, 55, 8, 98, 25, 41, 32, 83]","[5, 5, 50, 2, 57, 77, 1, 24, 98]","[100, 100, 24, 70, 97, 45, 93, 67, 13]","[0, 3, 28, 57, 58, 57, 9, 0, 20]","[90, 100, 72, 51, 76, 80, 93, 76, 85]","[0, 95, 80, 53, 47, 24, 65, 100, 43]","[18, 74, 64, 28, 54, 38, 6, 28, 29]","[4, 6, 31, 18, 11, 57, 19, 2, 15]","[0, 98, 82, 50, 89, 55, 95, 88, 72]","[5, 1, 21, 5, 15, 45, 19, 3, 14]","[5, 1, 25, 4, 2, 43, 14, 6, 10]","[0, 7, 32, 75, 14, 19, 2, 43, 16]","[100, 91, 79, 56, 53, 69, 92, 92, 60]","[0, 0, 3, 35, 7, 18, 1, 12, 16]","[18, 7, 19, 44, 18, 21, 5, 5, 15]","[100, 65, 80, 93, 100, 62, 5, 74, 93]","[89, 44, 40, 15, 22, 16, 6, 89, 41]","[0, 0, 3, 17, 0, 9, 2, 3, 18]","[17, 42, 12, 56, 8, 71, 75, 94, 38]","[100, 100, 95, 100, 100, 21, 100, 96, 88]","[14, 12, 16, 39, 52, 46, 79, 61, 60]","[100, 94, 97, 100, 94, 95, 100, 76, 51]","[0, 42, 8, 11, 41, 1, 12, 15, 3]","[88, 91, 67, 55, 5, 1, 41, 25, 24]","[16, 69, 24, 77, 67, 2, 87, 59, 51]","[100, 95, 89, 84, 92, 1, 100, 15, 24]","[51, 86, 74, 80, 94, 76, 86, 90, 47]","[0, 18, 1, 100, 4, 1, 0, 11, 46]"
妻妾之间,"[6, 7, 35, 14, 33, 62, 85, 10, 77]","[1, 8, 3, 14, 8, 4, 91, 47, 1]","[30, 75, 61, 94, 96, 88, 35, 65, 99]","[11, 0, 38, 19, 90, 46, 71, 15, 97]","[48, 0, 59, 52, 10, 18, 1, 26, 1]","[70, 49, 43, 91, 49, 42, 10, 79, 88]","[71, 22, 18, 9, 92, 5, 12, 15, 97]","[64, 92, 15, 8, 91, 50, 37, 96, 98]","[75, 8, 83, 6, 88, 82, 3, 57, 7]","[6, 100, 19, 13, 65, 55, 95, 59, 24]","[89, 3, 28, 40, 94, 72, 18, 35, 26]","[19, 4, 25, 5, 2, 81, 10, 54, 18]","[100, 95, 79, 73, 76, 24, 95, 92, 77]","[4, 84, 51, 18, 39, 68, 1, 67, 21]","[89, 6, 67, 42, 51, 57, 52, 77, 34]","[0, 95, 27, 21, 83, 70, 79, 2, 21]","[6, 2, 14, 3, 48, 55, 29, 1, 12]","[84, 2, 97, 15, 14, 49, 34, 11, 26]","[15, 14, 29, 75, 35, 21, 86, 69, 9]","[89, 90, 74, 82, 47, 57, 88, 88, 46]","[13, 6, 4, 27, 11, 17, 28, 46, 41]","[15, 35, 17, 62, 17, 65, 19, 45, 12]","[100, 51, 83, 78, 65, 55, 81, 59, 74]","[87, 52, 15, 70, 68, 81, 3, 66, 40]","[100, 0, 3, 89, 0, 8, 2, 3, 10]","[67, 55, 13, 57, 65, 74, 36, 68, 35]","[0, 0, 4, 4, 0, 14, 0, 2, 9]","[100, 96, 70, 93, 97, 96, 95, 10, 60]","[100, 42, 77, 13, 95, 21, 1, 36, 47]","[0, 11, 41, 13, 66, 1, 48, 21, 12]","[92, 95, 95, 80, 43, 79, 37, 10, 26]","[0, 4, 23, 37, 45, 0, 57, 77, 52]","[9, 14, 40, 7, 5, 2, 75, 13, 19]","[23, 79, 18, 22, 17, 81, 59, 51, 47]","[100, 24, 99, 100, 98, 100, 100, 91, 47]"
主人-奴婢,"[84, 54, 27, 82, 91, 37, 85, 72, 99]","[2, 0, 4, 8, 8, 2, 90, 3, 1]","[50, 100, 45, 97, 93, 93, 37, 37, 99]","[94, 100, 87, 98, 88, 93, 86, 55, 98]","[84, 100, 95, 100, 59, 67, 1, 80, 100]","[84, 100, 84, 100, 95, 89, 9, 64, 78]","[73, 0, 3, 20, 89, 2, 16, 79, 1]","[76, 100, 6, 96, 100, 79, 32, 99, 98]","[2, 0, 3, 2, 15, 92, 3, 12, 1]","[6, 2, 86, 43, 20, 59, 89, 55, 17]","[100, 97, 70, 91, 100, 60, 92, 100, 86]","[17, 80, 21, 69, 39, 68, 16, 72, 22]","[90, 65, 79, 55, 26, 22, 89, 91, 36]","[79, 76, 71, 59, 57, 51, 83, 87, 34]","[0, 53, 20, 59, 0, 54, 2, 86, 34]","[0, 95, 85, 92, 0, 78, 4, 62, 20]","[4, 5, 9, 21, 2, 50, 9, 3, 21]","[25, 98, 85, 27, 53, 78, 75, 29, 79]","[78, 78, 22, 56, 0, 58, 85, 69, 62]","[81, 94, 46, 37, 4, 64, 2, 93, 86]","[0, 90, 51, 70, 15, 16, 42, 58, 40]","[44, 87, 34, 33, 15, 48, 68, 48, 21]","[82, 46, 62, 80, 99, 48, 92, 77, 80]","[79, 57, 23, 15, 16, 69, 9, 68, 78]","[75, 29, 3, 19, 46, 25, 50, 2, 12]","[87, 95, 62, 60, 8, 75, 94, 83, 70]","[0, 21, 4, 21, 0, 10, 1, 4, 28]","[100, 98, 93, 100, 97, 98, 93, 5, 56]","[100, 12, 78, 29, 68, 11, 0, 62, 49]","[14, 62, 71, 75, 93, 98, 100, 75, 14]","[0, 34, 53, 36, 8, 56, 66, 46, 24]","[0, 2, 26, 37, 95, 1, 3, 12, 63]","[100, 2, 97, 91, 85, 88, 100, 67, 25]","[37, 84, 66, 63, 7, 70, 65, 63, 40]","[0, 13, 2, 70, 3, 2, 41, 11, 46]"
继子女之间,"[33, 100, 69, 19, 52, 90, 86, 57, 90]","[87, 31, 65, 85, 85, 43, 87, 79, 98]","[31, 13, 37, 93, 100, 51, 38, 28, 1]","[67, 35, 12, 93, 89, 44, 88, 22, 4]","[56, 0, 35, 33, 88, 27, 1, 22, 1]","[45, 0, 4, 55, 51, 2, 6, 27, 1]","[52, 0, 35, 16, 49, 4, 17, 25, 94]","[48, 73, 8, 7, 40, 45, 30, 50, 67]","[13, 81, 54, 2, 87, 85, 2, 64, 89]","[5, 100, 69, 92, 69, 46, 95, 60, 77]","[0, 2, 70, 55, 41, 47, 44, 1, 34]","[2, 2, 32, 21, 31, 73, 66, 8, 32]","[95, 100, 68, 79, 76, 21, 97, 62, 66]","[70, 50, 63, 48, 28, 72, 43, 63, 41]","[78, 6, 63, 42, 69, 52, 66, 62, 43]","[0, 96, 50, 29, 87, 60, 96, 9, 42]","[74, 70, 70, 35, 52, 54, 46, 48, 69]","[0, 0, 19, 5, 0, 37, 0, 0, 15]","[13, 27, 44, 71, 55, 54, 49, 66, 15]","[30, 65, 35, 72, 36, 58, 2, 88, 60]","[76, 58, 19, 79, 15, 15, 54, 49, 30]","[79, 57, 36, 67, 73, 65, 34, 49, 26]","[61, 19, 69, 56, 52, 48, 88, 5, 84]","[89, 61, 16, 83, 55, 89, 3, 92, 42]","[0, 0, 2, 88, 0, 7, 2, 13, 15]","[16, 55, 34, 82, 95, 69, 78, 88, 14]","[0, 21, 3, 2, 0, 10, 2, 2, 23]","[100, 80, 35, 100, 92, 93, 89, 19, 60]","[100, 56, 65, 65, 94, 27, 4, 66, 50]","[0, 38, 58, 28, 16, 4, 5, 5, 17]","[53, 100, 78, 53, 4, 46, 43, 39, 22]","[76, 77, 53, 0, 49, 87, 70, 72, 63]","[0, 9, 52, 3, 4, 2, 0, 12, 26]","[61, 83, 67, 46, 54, 66, 74, 70, 44]","[0, 17, 1, 47, 5, 3, 0, 13, 47]"
同校学生之间,"[8, 89, 37, 54, 85, 59, 82, 62, 78]","[95, 81, 3, 86, 86, 73, 11, 95, 99]","[4, 4, 75, 82, 100, 27, 29, 7, 1]","[24, 0, 9, 30, 98, 17, 83, 67, 2]","[50, 0, 68, 12, 51, 2, 1, 13, 1]","[50, 0, 22, 12, 54, 2, 7, 12, 1]","[86, 0, 81, 19, 30, 44, 14, 75, 86]","[73, 85, 39, 34, 100, 50, 37, 95, 76]","[22, 91, 45, 72, 54, 63, 1, 67, 95]","[51, 2, 18, 14, 0, 34, 4, 46, 25]","[0, 76, 27, 48, 57, 61, 3, 10, 35]","[17, 84, 25, 26, 45, 68, 66, 53, 45]","[21, 92, 80, 44, 46, 27, 76, 52, 46]","[83, 95, 81, 43, 38, 64, 50, 61, 63]","[8, 93, 84, 49, 93, 55, 52, 78, 64]","[90, 96, 23, 50, 72, 50, 92, 80, 73]","[81, 77, 85, 31, 32, 54, 16, 10, 36]","[0, 1, 22, 2, 2, 40, 3, 4, 22]","[12, 19, 60, 65, 31, 58, 75, 32, 49]","[89, 97, 69, 73, 81, 59, 98, 92, 72]","[0, 23, 27, 69, 29, 11, 67, 43, 28]","[25, 29, 48, 89, 41, 64, 77, 32, 40]","[13, 55, 59, 18, 57, 64, 1, 7, 46]","[78, 25, 53, 69, 88, 82, 77, 89, 85]","[0, 53, 2, 16, 0, 6, 11, 3, 15]","[76, 43, 53, 89, 25, 71, 97, 70, 64]","[100, 98, 3, 100, 100, 15, 100, 2, 71]","[100, 90, 66, 56, 94, 95, 89, 12, 59]","[100, 92, 93, 81, 93, 98, 88, 72, 50]","[0, 43, 48, 38, 55, 1, 22, 54, 32]","[3, 81, 52, 42, 22, 25, 11, 13, 25]","[100, 87, 83, 78, 61, 95, 83, 80, 47]","[8, 68, 83, 46, 34, 3, 73, 21, 41]","[87, 76, 81, 58, 52, 96, 95, 69, 40]","[0, 12, 2, 2, 4, 2, 0, 10, 46]"
教首(教主)-教徒,"[70, 79, 93, 89, 100, 89, 83, 69, 98]","[1, 0, 3, 32, 8, 2, 85, 0, 1]","[93, 100, 48, 92, 26, 92, 33, 89, 99]","[26, 0, 15, 9, 82, 96, 70, 3, 1]","[11, 72, 75, 12, 92, 60, 1, 85, 3]","[6, 93, 4, 85, 50, 91, 9, 73, 79]","[59, 100, 85, 84, 90, 2, 14, 42, 95]","[51, 69, 72, 81, 24, 44, 41, 53, 99]","[53, 4, 68, 75, 16, 6, 1, 45, 1]","[0, 2, 80, 15, 1, 50, 3, 21, 32]","[100, 97, 79, 62, 100, 57, 3, 94, 17]","[90, 99, 75, 54, 92, 48, 85, 89, 39]","[92, 96, 80, 29, 59, 83, 96, 84, 62]","[100, 95, 83, 85, 90, 82, 88, 83, 75]","[100, 86, 32, 22, 96, 53, 90, 41, 17]","[0, 94, 75, 40, 0, 72, 12, 4, 25]","[11, 3, 19, 38, 95, 53, 60, 58, 40]","[78, 100, 75, 61, 71, 77, 52, 62, 72]","[100, 52, 44, 81, 60, 44, 78, 78, 35]","[100, 93, 75, 68, 23, 48, 81, 90, 70]","[100, 67, 20, 28, 91, 9, 33, 37, 28]","[100, 8, 30, 33, 35, 19, 83, 65, 24]","[100, 17, 5, 81, 65, 54, 35, 67, 46]","[96, 25, 72, 67, 74, 19, 85, 86, 72]","[0, 4, 2, 22, 15, 11, 2, 3, 15]","[100, 84, 86, 82, 90, 73, 92, 93, 87]","[0, 6, 2, 17, 87, 11, 12, 54, 45]","[89, 68, 29, 64, 64, 97, 1, 71, 63]","[87, 67, 79, 100, 95, 87, 87, 32, 52]","[0, 34, 16, 50, 4, 1, 52, 62, 13]","[0, 10, 4, 20, 4, 11, 43, 23, 50]","[0, 35, 73, 56, 40, 1, 10, 76, 48]","[100, 84, 71, 45, 3, 18, 76, 49, 27]","[100, 78, 49, 98, 77, 92, 87, 49, 50]","[0, 14, 2, 2, 4, 2, 5, 12, 49]"
刑案中的受害者-旁观（目击）者,"[65, 91, 28, 9, 23, 89, 2, 22, 99]","[52, 71, 3, 93, 8, 60, 86, 55, 98]","[81, 100, 89, 9, 10, 2, 43, 51, 2]","[78, 100, 32, 97, 15, 26, 86, 78, 98]","[49, 0, 49, 13, 54, 4, 1, 20, 1]","[69, 24, 86, 71, 56, 82, 7, 20, 1]","[50, 0, 4, 12, 19, 15, 15, 9, 1]","[62, 0, 4, 5, 34, 4, 40, 3, 1]","[10, 0, 55, 11, 16, 23, 4, 4, 1]","[100, 2, 80, 35, 69, 40, 79, 56, 9]","[0, 1, 25, 75, 2, 70, 5, 2, 11]","[82, 90, 47, 90, 11, 88, 65, 11, 89]","[0, 5, 23, 14, 0, 23, 3, 2, 15]","[0, 50, 27, 33, 56, 81, 2, 6, 75]","[0, 95, 29, 44, 0, 52, 4, 0, 12]","[0, 4, 49, 45, 10, 70, 6, 0, 18]","[0, 2, 12, 2, 0, 51, 3, 0, 16]","[0, 0, 55, 50, 0, 27, 54, 0, 29]","[0, 0, 32, 22, 2, 73, 1, 57, 32]","[100, 69, 95, 23, 84, 53, 96, 92, 95]","[0, 0, 24, 53, 0, 18, 1, 6, 10]","[0, 0, 22, 23, 0, 77, 1, 3, 11]","[0, 0, 67, 20, 100, 47, 1, 12, 77]","[0, 35, 44, 28, 26, 13, 3, 96, 20]","[0, 0, 1, 15, 0, 9, 2, 4, 17]","[0, 24, 97, 25, 27, 71, 44, 3, 81]","[0, 23, 2, 6, 51, 22, 2, 52, 15]","[0, 2, 65, 62, 98, 85, 19, 10, 61]","[100, 10, 38, 24, 95, 100, 96, 64, 51]","[0, 9, 50, 12, 4, 14, 14, 13, 6]","[6, 91, 24, 48, 44, 46, 22, 61, 26]","[0, 5, 66, 89, 4, 75, 0, 13, 54]","[0, 6, 50, 4, 2, 1, 0, 8, 22]","[0, 100, 95, 59, 2, 95, 76, 13, 49]","[0, 17, 2, 50, 4, 3, 15, 11, 46]"
旅途同行人之间,"[53, 88, 59, 95, 56, 77, 83, 60, 98]","[53, 100, 62, 90, 100, 82, 88, 89, 98]","[5, 4, 55, 40, 4, 6, 42, 0, 1]","[10, 71, 51, 91, 19, 41, 92, 81, 94]","[58, 12, 72, 34, 51, 2, 60, 40, 1]","[50, 0, 3, 9, 56, 2, 15, 0, 1]","[59, 100, 70, 23, 24, 5, 13, 68, 90]","[26, 65, 81, 14, 16, 6, 38, 17, 92]","[31, 87, 56, 87, 54, 85, 1, 55, 100]","[15, 2, 84, 18, 0, 42, 4, 0, 40]","[0, 96, 65, 35, 45, 71, 32, 4, 35]","[4, 17, 23, 17, 20, 68, 14, 8, 13]","[0, 51, 16, 8, 75, 22, 3, 4, 10]","[69, 49, 25, 19, 58, 21, 76, 3, 84]","[10, 87, 29, 29, 79, 53, 90, 27, 22]","[99, 95, 76, 66, 98, 77, 97, 88, 64]","[6, 2, 20, 14, 24, 51, 61, 6, 11]","[18, 2, 22, 45, 0, 31, 5, 12, 29]","[0, 5, 19, 41, 10, 15, 48, 56, 11]","[86, 20, 87, 67, 59, 56, 100, 90, 70]","[12, 4, 26, 34, 29, 15, 72, 75, 32]","[5, 15, 50, 70, 2, 64, 48, 67, 11]","[13, 69, 30, 53, 44, 52, 75, 67, 14]","[82, 13, 21, 34, 89, 84, 93, 95, 71]","[0, 8, 2, 14, 0, 8, 1, 2, 14]","[81, 19, 67, 79, 69, 70, 98, 80, 57]","[0, 71, 3, 36, 44, 30, 3, 52, 43]","[10, 59, 71, 49, 96, 93, 90, 22, 57]","[100, 28, 88, 22, 95, 98, 97, 69, 55]","[0, 12, 48, 46, 65, 2, 18, 17, 16]","[7, 13, 33, 11, 8, 2, 8, 11, 24]","[100, 77, 75, 15, 72, 96, 84, 16, 54]","[0, 15, 49, 57, 3, 1, 0, 13, 24]","[51, 45, 64, 51, 74, 98, 69, 49, 43]","[0, 11, 2, 30, 5, 2, 15, 12, 45]"
房东-租户,"[60, 87, 17, 53, 56, 46, 83, 41, 99]","[1, 13, 3, 25, 9, 39, 90, 52, 98]","[64, 90, 95, 100, 100, 35, 43, 2, 4]","[97, 100, 94, 98, 100, 95, 87, 98, 99]","[94, 100, 97, 87, 94, 94, 95, 86, 100]","[76, 0, 57, 71, 49, 2, 13, 39, 26]","[64, 100, 2, 78, 21, 30, 16, 75, 97]","[61, 8, 7, 9, 45, 34, 21, 10, 2]","[2, 6, 7, 2, 6, 2, 5, 5, 1]","[5, 2, 88, 38, 6, 55, 93, 5, 21]","[73, 96, 83, 84, 38, 50, 88, 52, 31]","[68, 33, 72, 75, 10, 22, 87, 19, 73]","[74, 50, 51, 24, 24, 21, 6, 25, 34]","[83, 19, 80, 43, 55, 56, 71, 24, 48]","[8, 7, 32, 18, 4, 53, 3, 0, 26]","[100, 97, 89, 92, 81, 53, 29, 93, 14]","[5, 2, 13, 6, 0, 51, 35, 0, 25]","[55, 0, 11, 55, 13, 27, 53, 16, 47]","[17, 0, 20, 37, 11, 23, 3, 69, 46]","[84, 94, 79, 32, 73, 68, 94, 93, 64]","[0, 0, 3, 80, 8, 17, 2, 7, 17]","[7, 0, 29, 39, 8, 23, 1, 3, 17]","[100, 100, 61, 98, 100, 54, 87, 88, 69]","[69, 18, 10, 40, 32, 13, 4, 61, 38]","[0, 2, 3, 16, 0, 9, 2, 3, 19]","[12, 38, 44, 35, 8, 68, 10, 83, 46]","[0, 83, 4, 83, 55, 16, 2, 3, 41]","[100, 82, 50, 68, 98, 91, 63, 79, 61]","[100, 44, 69, 28, 94, 96, 84, 70, 44]","[100, 96, 96, 98, 95, 100, 100, 77, 75]","[8, 16, 69, 58, 27, 30, 38, 14, 22]","[95, 76, 74, 100, 72, 88, 73, 17, 62]","[89, 83, 99, 25, 96, 3, 11, 82, 26]","[48, 59, 87, 51, 68, 78, 59, 56, 50]","[0, 15, 1, 3, 6, 2, 16, 12, 47]"
